TimeStamp,Unit,,,TimeStamp,,Values_60
16:30:39.998 -> 48.9,kPa,,,30:40.0,->,48.9
16:30:40.092 -> 48.9,kPa,,,30:40.1,->,48.9
16:30:40.185 -> 48.9,kPa,,,30:40.2,->,48.9
16:30:40.279 -> 48.9,kPa,,,30:40.3,->,48.9
16:30:40.373 -> 46.9,kPa,,,30:40.4,->,46.9
16:30:40.514 -> 46.9,kPa,,,30:40.5,->,46.9
16:30:40.607 -> 46.9,kPa,,,30:40.6,->,46.9
16:30:40.701 -> 48.9,kPa,,,30:40.7,->,48.9
16:30:40.795 -> 46.9,kPa,,,30:40.8,->,46.9
16:30:40.905 -> 46.9,kPa,,,30:40.9,->,46.9
16:30:40.998 -> 45.0,kPa,,,30:41.0,->,45
16:30:41.092 -> 45.0,kPa,,,30:41.1,->,45
16:30:41.186 -> 43.0,kPa,,,30:41.2,->,43
16:30:41.280 -> 43.0,kPa,,,30:41.3,->,43
16:30:41.389 -> 45.0,kPa,,,30:41.4,->,45
16:30:41.498 -> 46.9,kPa,,,30:41.5,->,46.9
16:30:41.592 -> 46.9,kPa,,,30:41.6,->,46.9
16:30:41.686 -> 48.9,kPa,,,30:41.7,->,48.9
16:30:41.780 -> 46.9,kPa,,,30:41.8,->,46.9
16:30:41.873 -> 50.8,kPa,,,30:41.9,->,50.8
16:30:41.983 -> 52.8,kPa,,,30:42.0,->,52.8
16:30:42.123 -> 52.8,kPa,,,30:42.1,->,52.8
16:30:42.218 -> 52.8,kPa,,,30:42.2,->,52.8
16:30:42.311 -> 54.7,kPa,,,30:42.3,->,54.7
16:30:42.405 -> 54.7,kPa,,,30:42.4,->,54.7
16:30:42.499 -> 52.8,kPa,,,30:42.5,->,52.8
16:30:42.593 -> 54.7,kPa,,,30:42.6,->,54.7
16:30:42.686 -> 54.7,kPa,,,30:42.7,->,54.7
16:30:42.780 -> 52.8,kPa,,,30:42.8,->,52.8
16:30:42.921 -> 54.7,kPa,,,30:42.9,->,54.7
16:30:43.014 -> 52.8,kPa,,,30:43.0,->,52.8
16:30:43.108 -> 52.8,kPa,,,30:43.1,->,52.8
16:30:43.202 -> 52.8,kPa,,,30:43.2,->,52.8
16:30:43.296 -> 52.8,kPa,,,30:43.3,->,52.8
16:30:43.389 -> 52.8,kPa,,,30:43.4,->,52.8
16:30:43.530 -> 50.8,kPa,,,30:43.5,->,50.8
16:30:43.624 -> 52.8,kPa,,,30:43.6,->,52.8
16:30:43.718 -> 50.8,kPa,,,30:43.7,->,50.8
16:30:43.812 -> 50.8,kPa,,,30:43.8,->,50.8
16:30:43.906 -> 50.8,kPa,,,30:43.9,->,50.8
16:30:43.999 -> 50.8,kPa,,,30:44.0,->,50.8
16:30:44.093 -> 50.8,kPa,,,30:44.1,->,50.8
16:30:44.187 -> 48.9,kPa,,,30:44.2,->,48.9
16:30:44.327 -> 48.9,kPa,,,30:44.3,->,48.9
16:30:44.421 -> 48.9,kPa,,,30:44.4,->,48.9
16:30:44.515 -> 46.9,kPa,,,30:44.5,->,46.9
16:30:44.609 -> 48.9,kPa,,,30:44.6,->,48.9
16:30:44.702 -> 48.9,kPa,,,30:44.7,->,48.9
16:30:44.796 -> 46.9,kPa,,,30:44.8,->,46.9
16:30:44.937 -> 48.9,kPa,,,30:44.9,->,48.9
16:30:45.031 -> 48.9,kPa,,,30:45.0,->,48.9
16:30:45.125 -> 46.9,kPa,,,30:45.1,->,46.9
16:30:45.218 -> 48.9,kPa,,,30:45.2,->,48.9
16:30:45.297 -> 48.9,kPa,,,30:45.3,->,48.9
16:30:45.437 -> 50.8,kPa,,,30:45.4,->,50.8
16:30:45.515 -> 52.8,kPa,,,30:45.5,->,52.8
16:30:45.609 -> 50.8,kPa,,,30:45.6,->,50.8
16:30:45.703 -> 50.8,kPa,,,30:45.7,->,50.8
16:30:45.828 -> 52.8,kPa,,,30:45.8,->,52.8
16:30:45.921 -> 52.8,kPa,,,30:45.9,->,52.8
16:30:46.015 -> 54.7,kPa,,,30:46.0,->,54.7
16:30:46.109 -> 52.8,kPa,,,30:46.1,->,52.8
16:30:46.203 -> 52.8,kPa,,,30:46.2,->,52.8
16:30:46.344 -> 52.8,kPa,,,30:46.3,->,52.8
16:30:46.437 -> 52.8,kPa,,,30:46.4,->,52.8
16:30:46.531 -> 52.8,kPa,,,30:46.5,->,52.8
16:30:46.625 -> 50.8,kPa,,,30:46.6,->,50.8
16:30:46.719 -> 52.8,kPa,,,30:46.7,->,52.8
16:30:46.812 -> 52.8,kPa,,,30:46.8,->,52.8
16:30:46.906 -> 50.8,kPa,,,30:46.9,->,50.8
16:30:47.031 -> 50.8,kPa,,,30:47.0,->,50.8
16:30:47.125 -> 48.9,kPa,,,30:47.1,->,48.9
16:30:47.219 -> 48.9,kPa,,,30:47.2,->,48.9
16:30:47.313 -> 50.8,kPa,,,30:47.3,->,50.8
16:30:47.454 -> 50.8,kPa,,,30:47.5,->,50.8
16:30:47.500 -> 50.8,kPa,,,30:47.5,->,50.8
16:30:47.641 -> 50.8,kPa,,,30:47.6,->,50.8
16:30:47.735 -> 48.9,kPa,,,30:47.7,->,48.9
16:30:47.829 -> 50.8,kPa,,,30:47.8,->,50.8
16:30:47.938 -> 50.8,kPa,,,30:47.9,->,50.8
16:30:48.016 -> 50.8,kPa,,,30:48.0,->,50.8
16:30:48.157 -> 50.8,kPa,,,30:48.2,->,50.8
16:30:48.251 -> 50.8,kPa,,,30:48.3,->,50.8
16:30:48.345 -> 46.9,kPa,,,30:48.3,->,46.9
16:30:48.438 -> 46.9,kPa,,,30:48.4,->,46.9
16:30:48.532 -> 46.9,kPa,,,30:48.5,->,46.9
16:30:48.626 -> 46.9,kPa,,,30:48.6,->,46.9
16:30:48.720 -> 50.8,kPa,,,30:48.7,->,50.8
16:30:48.860 -> 50.8,kPa,,,30:48.9,->,50.8
16:30:48.907 -> 52.8,kPa,,,30:48.9,->,52.8
16:30:49.048 -> 50.8,kPa,,,30:49.0,->,50.8
16:30:49.142 -> 52.8,kPa,,,30:49.1,->,52.8
16:30:49.236 -> 50.8,kPa,,,30:49.2,->,50.8
16:30:49.329 -> 48.9,kPa,,,30:49.3,->,48.9
16:30:49.423 -> 48.9,kPa,,,30:49.4,->,48.9
16:30:49.517 -> 48.9,kPa,,,30:49.5,->,48.9
16:30:49.658 -> 46.9,kPa,,,30:49.7,->,46.9
16:30:49.751 -> 48.9,kPa,,,30:49.8,->,48.9
16:30:49.845 -> 48.9,kPa,,,30:49.8,->,48.9
16:30:49.939 -> 48.9,kPa,,,30:49.9,->,48.9
16:30:50.064 -> 48.9,kPa,,,30:50.1,->,48.9
16:30:50.158 -> 48.9,kPa,,,30:50.2,->,48.9
16:30:50.251 -> 48.9,kPa,,,30:50.3,->,48.9
16:30:50.345 -> 46.9,kPa,,,30:50.3,->,46.9
16:30:50.424 -> 48.9,kPa,,,30:50.4,->,48.9
16:30:50.564 -> 50.8,kPa,,,30:50.6,->,50.8
16:30:50.642 -> 48.9,kPa,,,30:50.6,->,48.9
16:30:50.768 -> 48.9,kPa,,,30:50.8,->,48.9
16:30:50.861 -> 46.9,kPa,,,30:50.9,->,46.9
16:30:50.955 -> 50.8,kPa,,,30:51.0,->,50.8
16:30:51.049 -> 50.8,kPa,,,30:51.0,->,50.8
16:30:51.143 -> 50.8,kPa,,,30:51.1,->,50.8
16:30:51.236 -> 48.9,kPa,,,30:51.2,->,48.9
16:30:51.330 -> 50.8,kPa,,,30:51.3,->,50.8
16:30:51.471 -> 50.8,kPa,,,30:51.5,->,50.8
16:30:51.565 -> 48.9,kPa,,,30:51.6,->,48.9
16:30:51.674 -> 52.8,kPa,,,30:51.7,->,52.8
16:30:51.768 -> 50.8,kPa,,,30:51.8,->,50.8
16:30:51.862 -> 50.8,kPa,,,30:51.9,->,50.8
16:30:51.972 -> 52.8,kPa,,,30:52.0,->,52.8
16:30:52.065 -> 50.8,kPa,,,30:52.1,->,50.8
16:30:52.159 -> 50.8,kPa,,,30:52.2,->,50.8
16:30:52.253 -> 50.8,kPa,,,30:52.3,->,50.8
16:30:52.347 -> 50.8,kPa,,,30:52.3,->,50.8
16:30:52.441 -> 52.8,kPa,,,30:52.4,->,52.8
16:30:52.581 -> 50.8,kPa,,,30:52.6,->,50.8
16:30:52.675 -> 50.8,kPa,,,30:52.7,->,50.8
16:30:52.769 -> 50.8,kPa,,,30:52.8,->,50.8
16:30:52.863 -> 50.8,kPa,,,30:52.9,->,50.8
16:30:52.957 -> 50.8,kPa,,,30:53.0,->,50.8
16:30:53.050 -> 52.8,kPa,,,30:53.1,->,52.8
16:30:53.145 -> 52.8,kPa,,,30:53.1,->,52.8
16:30:53.285 -> 50.8,kPa,,,30:53.3,->,50.8
16:30:53.379 -> 50.8,kPa,,,30:53.4,->,50.8
16:30:53.473 -> 50.8,kPa,,,30:53.5,->,50.8
16:30:53.567 -> 50.8,kPa,,,30:53.6,->,50.8
16:30:53.660 -> 48.9,kPa,,,30:53.7,->,48.9
16:30:53.754 -> 46.9,kPa,,,30:53.8,->,46.9
16:30:53.848 -> 46.9,kPa,,,30:53.8,->,46.9
16:30:53.989 -> 45.0,kPa,,,30:54.0,->,45
16:30:54.082 -> 45.0,kPa,,,30:54.1,->,45
16:30:54.176 -> 45.0,kPa,,,30:54.2,->,45
