TimeStamp,Unit,,,TimeStamp,,Values
16:11:12.020 -> 74.3,kPa,,,11:12.0,->,74.3
16:11:12.115 -> 86.0,kPa,,,11:12.1,->,86
16:11:12.210 -> 89.9,kPa,,,11:12.2,->,89.9
16:11:12.289 -> 93.8,kPa,,,11:12.3,->,93.8
16:11:12.385 -> 95.7,kPa,,,11:12.4,->,95.7
16:11:12.480 -> 93.8,kPa,,,11:12.5,->,93.8
16:11:12.588 -> 93.8,kPa,,,11:12.6,->,93.8
16:11:12.717 -> 91.8,kPa,,,11:12.7,->,91.8
16:11:12.813 -> 91.8,kPa,,,11:12.8,->,91.8
16:11:12.907 -> 93.8,kPa,,,11:12.9,->,93.8
16:11:13.002 -> 93.8,kPa,,,11:13.0,->,93.8
16:11:13.098 -> 97.7,kPa,,,11:13.1,->,97.7
16:11:13.204 -> 95.7,kPa,,,11:13.2,->,95.7
16:11:13.289 -> 97.7,kPa,,,11:13.3,->,97.7
16:11:13.383 -> 95.7,kPa,,,11:13.4,->,95.7
16:11:13.525 -> 97.7,kPa,,,11:13.5,->,97.7
16:11:13.620 -> 97.7,kPa,,,11:13.6,->,97.7
16:11:13.714 -> 99.6,kPa,,,11:13.7,->,99.6
16:11:13.830 -> 97.7,kPa,,,11:13.8,->,97.7
16:11:13.920 -> 99.6,kPa,,,11:13.9,->,99.6
16:11:14.014 -> 97.7,kPa,,,11:14.0,->,97.7
16:11:14.108 -> 97.7,kPa,,,11:14.1,->,97.7
16:11:14.187 -> 97.7,kPa,,,11:14.2,->,97.7
16:11:14.330 -> 95.7,kPa,,,11:14.3,->,95.7
16:11:14.424 -> 95.7,kPa,,,11:14.4,->,95.7
16:11:14.519 -> 95.7,kPa,,,11:14.5,->,95.7
16:11:14.614 -> 93.8,kPa,,,11:14.6,->,93.8
16:11:14.708 -> 93.8,kPa,,,11:14.7,->,93.8
16:11:14.803 -> 89.9,kPa,,,11:14.8,->,89.9
16:11:14.930 -> 89.9,kPa,,,11:14.9,->,89.9
16:11:15.009 -> 89.9,kPa,,,11:15.0,->,89.9
16:11:15.110 -> 89.9,kPa,,,11:15.1,->,89.9
16:11:15.202 -> 87.9,kPa,,,11:15.2,->,87.9
16:11:15.340 -> 91.8,kPa,,,11:15.3,->,91.8
16:11:15.435 -> 93.8,kPa,,,11:15.4,->,93.8
16:11:15.514 -> 95.7,kPa,,,11:15.5,->,95.7
16:11:15.616 -> 93.8,kPa,,,11:15.6,->,93.8
16:11:15.707 -> 89.9,kPa,,,11:15.7,->,89.9
16:11:15.798 -> 89.9,kPa,,,11:15.8,->,89.9
16:11:15.940 -> 93.8,kPa,,,11:15.9,->,93.8
16:11:16.035 -> 95.7,kPa,,,11:16.0,->,95.7
16:11:16.130 -> 95.7,kPa,,,11:16.1,->,95.7
16:11:16.224 -> 95.7,kPa,,,11:16.2,->,95.7
16:11:16.319 -> 95.7,kPa,,,11:16.3,->,95.7
16:11:16.414 -> 95.7,kPa,,,11:16.4,->,95.7
16:11:16.509 -> 95.7,kPa,,,11:16.5,->,95.7
16:11:16.604 -> 95.7,kPa,,,11:16.6,->,95.7
16:11:16.731 -> 93.8,kPa,,,11:16.7,->,93.8
16:11:16.842 -> 93.8,kPa,,,11:16.8,->,93.8
16:11:16.905 -> 93.8,kPa,,,11:16.9,->,93.8
16:11:17.004 -> 95.7,kPa,,,11:17.0,->,95.7
16:11:17.159 -> 95.7,kPa,,,11:17.2,->,95.7
16:11:17.208 -> 97.7,kPa,,,11:17.2,->,97.7
16:11:17.349 -> 97.7,kPa,,,11:17.3,->,97.7
16:11:17.444 -> 95.7,kPa,,,11:17.4,->,95.7
16:11:17.538 -> 95.7,kPa,,,11:17.5,->,95.7
16:11:17.649 -> 93.8,kPa,,,11:17.6,->,93.8
16:11:17.729 -> 99.6,kPa,,,11:17.7,->,99.6
16:11:17.825 -> 97.7,kPa,,,11:17.8,->,97.7
16:11:17.925 -> 95.7,kPa,,,11:17.9,->,95.7
16:11:18.014 -> 95.7,kPa,,,11:18.0,->,95.7
16:11:18.109 -> 95.7,kPa,,,11:18.1,->,95.7
16:11:18.252 -> 91.8,kPa,,,11:18.3,->,91.8
16:11:18.348 -> 91.8,kPa,,,11:18.3,->,91.8
16:11:18.442 -> 89.9,kPa,,,11:18.4,->,89.9
16:11:18.537 -> 86.0,kPa,,,11:18.5,->,86
16:11:18.632 -> 86.0,kPa,,,11:18.6,->,86
16:11:18.728 -> 80.1,kPa,,,11:18.7,->,80.1
16:11:18.838 -> 80.1,kPa,,,11:18.8,->,80.1
16:11:18.918 -> 84.0,kPa,,,11:18.9,->,84
16:11:19.060 -> 89.9,kPa,,,11:19.1,->,89.9
16:11:19.156 -> 91.8,kPa,,,11:19.2,->,91.8
16:11:19.251 -> 91.8,kPa,,,11:19.3,->,91.8
16:11:19.346 -> 91.8,kPa,,,11:19.3,->,91.8
16:11:19.442 -> 93.8,kPa,,,11:19.4,->,93.8
16:11:19.535 -> 93.8,kPa,,,11:19.5,->,93.8
16:11:19.629 -> 93.8,kPa,,,11:19.6,->,93.8
16:11:19.724 -> 89.9,kPa,,,11:19.7,->,89.9
16:11:19.896 -> 89.9,kPa,,,11:19.9,->,89.9
16:11:19.944 -> 89.9,kPa,,,11:19.9,->,89.9
16:11:20.039 -> 91.8,kPa,,,11:20.0,->,91.8
16:11:20.135 -> 93.8,kPa,,,11:20.1,->,93.8
16:11:20.228 -> 93.8,kPa,,,11:20.2,->,93.8
16:11:20.325 -> 95.7,kPa,,,11:20.3,->,95.7
16:11:20.466 -> 93.8,kPa,,,11:20.5,->,93.8
16:11:20.560 -> 93.8,kPa,,,11:20.6,->,93.8
16:11:20.655 -> 93.8,kPa,,,11:20.7,->,93.8
16:11:20.750 -> 95.7,kPa,,,11:20.8,->,95.7
16:11:20.844 -> 95.7,kPa,,,11:20.8,->,95.7
16:11:20.940 -> 89.9,kPa,,,11:20.9,->,89.9
16:11:21.035 -> 91.8,kPa,,,11:21.0,->,91.8
16:11:21.129 -> 93.8,kPa,,,11:21.1,->,93.8
16:11:21.272 -> 93.8,kPa,,,11:21.3,->,93.8
16:11:21.365 -> 95.7,kPa,,,11:21.4,->,95.7
16:11:21.459 -> 97.7,kPa,,,11:21.5,->,97.7
16:11:21.554 -> 97.7,kPa,,,11:21.6,->,97.7
16:11:21.649 -> 95.7,kPa,,,11:21.6,->,95.7
16:11:21.744 -> 97.7,kPa,,,11:21.7,->,97.7
16:11:21.840 -> 97.7,kPa,,,11:21.8,->,97.7
16:11:21.935 -> 97.7,kPa,,,11:21.9,->,97.7
16:11:22.062 -> 99.6,kPa,,,11:22.1,->,99.6
16:11:22.157 -> 97.7,kPa,,,11:22.2,->,97.7
16:11:22.253 -> 97.7,kPa,,,11:22.3,->,97.7
16:11:22.349 -> 89.9,kPa,,,11:22.3,->,89.9
16:11:22.443 -> 86.0,kPa,,,11:22.4,->,86
16:11:22.539 -> 86.0,kPa,,,11:22.5,->,86
16:11:22.666 -> 80.1,kPa,,,11:22.7,->,80.1
16:11:22.761 -> 80.1,kPa,,,11:22.8,->,80.1
16:11:22.856 -> 76.2,kPa,,,11:22.9,->,76.2
16:11:22.951 -> 78.2,kPa,,,11:23.0,->,78.2
16:11:23.045 -> 78.2,kPa,,,11:23.0,->,78.2
16:11:23.139 -> 76.2,kPa,,,11:23.1,->,76.2
16:11:23.280 -> 76.2,kPa,,,11:23.3,->,76.2
16:11:23.374 -> 84.0,kPa,,,11:23.4,->,84
16:11:23.453 -> 86.0,kPa,,,11:23.5,->,86
16:11:23.548 -> 86.0,kPa,,,11:23.5,->,86
16:11:23.644 -> 87.9,kPa,,,11:23.6,->,87.9
16:11:23.786 -> 89.9,kPa,,,11:23.8,->,89.9
16:11:23.883 -> 91.8,kPa,,,11:23.9,->,91.8
16:11:23.977 -> 89.9,kPa,,,11:24.0,->,89.9
16:11:24.071 -> 93.8,kPa,,,11:24.1,->,93.8
16:11:24.165 -> 95.7,kPa,,,11:24.2,->,95.7
16:11:24.259 -> 95.7,kPa,,,11:24.3,->,95.7
16:11:24.352 -> 93.8,kPa,,,11:24.4,->,93.8
16:11:24.446 -> 95.7,kPa,,,11:24.4,->,95.7
16:11:24.556 -> 95.7,kPa,,,11:24.6,->,95.7
16:11:24.651 -> 95.7,kPa,,,11:24.7,->,95.7
16:11:24.794 -> 95.7,kPa,,,11:24.8,->,95.7
