TimeStamp,,,,TimeStamp,,Values_At_45
17:19:41.767 -> 70.3207.00,,,,19:41.8,->,70.3207.00
17:19:41.861 -> 72.3207.00,,,,19:41.9,->,72.3207.00
17:19:41.955 -> 72.3206.00,,,,19:42.0,->,72.3206.00
17:19:42.049 -> 70.3206.00,,,,19:42.0,->,70.3206.00
17:19:42.189 -> 70.3204.00,,,,19:42.2,->,70.3204.00
17:19:42.284 -> 66.4202.00,,,,19:42.3,->,66.4202.00
17:19:42.379 -> 62.5199.00,,,,19:42.4,->,62.5199.00
17:19:42.474 -> 56.7197.00,,,,19:42.5,->,56.7197.00
17:19:42.568 -> 52.8195.00,,,,19:42.6,->,52.8195.00
17:19:42.662 -> 48.9194.00,,,,19:42.7,->,48.9194.00
17:19:42.756 -> 46.9195.00,,,,19:42.8,->,46.9195.00
17:19:42.898 -> 48.9199.00,,,,19:42.9,->,48.9199.00
17:19:42.991 -> 56.7201.00,,,,19:43.0,->,56.7201.00
17:19:43.085 -> 60.6202.00,,,,19:43.1,->,60.6202.00
17:19:43.179 -> 62.5203.00,,,,19:43.2,->,62.5203.00
17:19:43.273 -> 64.5203.00,,,,19:43.3,->,64.5203.00
17:19:43.366 -> 64.5202.00,,,,19:43.4,->,64.5202.00
17:19:43.461 -> 62.5201.00,,,,19:43.5,->,62.5201.00
17:19:43.604 -> 60.6200.00,,,,19:43.6,->,60.6200.00
17:19:43.701 -> 58.6200.00,,,,19:43.7,->,58.6200.00
17:19:43.796 -> 58.6202.00,,,,19:43.8,->,58.6202.00
17:19:43.890 -> 62.5204.00,,,,19:43.9,->,62.5204.00
17:19:43.985 -> 66.4204.00,,,,19:44.0,->,66.4204.00
17:19:44.081 -> 66.4204.00,,,,19:44.1,->,66.4204.00
17:19:44.207 -> 66.4206.00,,,,19:44.2,->,66.4206.00
17:19:44.302 -> 70.3207.00,,,,19:44.3,->,70.3207.00
17:19:44.383 -> 72.3209.00,,,,19:44.4,->,72.3209.00
17:19:44.510 -> 76.2208.00,,,,19:44.5,->,76.2208.00
17:19:44.605 -> 74.3209.00,,,,19:44.6,->,74.3209.00
17:19:44.700 -> 76.2209.00,,,,19:44.7,->,76.2209.00
17:19:44.795 -> 76.2208.00,,,,19:44.8,->,76.2208.00
17:19:44.890 -> 74.3209.00,,,,19:44.9,->,74.3209.00
17:19:44.985 -> 76.2209.00,,,,19:45.0,->,76.2209.00
17:19:45.080 -> 76.2210.00,,,,19:45.1,->,76.2210.00
17:19:45.226 -> 78.2209.00,,,,19:45.2,->,78.2209.00
17:19:45.317 -> 76.2209.00,,,,19:45.3,->,76.2209.00
17:19:45.411 -> 76.2209.00,,,,19:45.4,->,76.2209.00
17:19:45.491 -> 76.2210.00,,,,19:45.5,->,76.2210.00
17:19:45.618 -> 78.2208.00,,,,19:45.6,->,78.2208.00
17:19:45.712 -> 74.3208.00,,,,19:45.7,->,74.3208.00
17:19:45.807 -> 74.3208.00,,,,19:45.8,->,74.3208.00
17:19:45.903 -> 74.3209.00,,,,19:45.9,->,74.3209.00
17:19:46.014 -> 76.2208.00,,,,19:46.0,->,76.2208.00
17:19:46.109 -> 74.3210.00,,,,19:46.1,->,74.3210.00
17:19:46.204 -> 78.2209.00,,,,19:46.2,->,78.2209.00
17:19:46.299 -> 76.2209.00,,,,19:46.3,->,76.2209.00
17:19:46.395 -> 76.2208.00,,,,19:46.4,->,76.2208.00
17:19:46.490 -> 74.3208.00,,,,19:46.5,->,74.3208.00
17:19:46.633 -> 74.3208.00,,,,19:46.6,->,74.3208.00
17:19:46.727 -> 74.3208.00,,,,19:46.7,->,74.3208.00
17:19:46.807 -> 74.3209.00,,,,19:46.8,->,74.3209.00
17:19:46.902 -> 76.2208.00,,,,19:46.9,->,76.2208.00
17:19:46.997 -> 74.3209.00,,,,19:47.0,->,74.3209.00
17:19:47.140 -> 76.2209.00,,,,19:47.1,->,76.2209.00
17:19:47.234 -> 76.2210.00,,,,19:47.2,->,76.2210.00
17:19:47.333 -> 78.2209.00,,,,19:47.3,->,78.2209.00
17:19:47.424 -> 76.2209.00,,,,19:47.4,->,76.2209.00
17:19:47.520 -> 76.2210.00,,,,19:47.5,->,76.2210.00
17:19:47.615 -> 78.2210.00,,,,19:47.6,->,78.2210.00
17:19:47.709 -> 78.2210.00,,,,19:47.7,->,78.2210.00
17:19:47.805 -> 78.2209.00,,,,19:47.8,->,78.2209.00
17:19:47.948 -> 76.2208.00,,,,19:47.9,->,76.2208.00
17:19:48.043 -> 74.3208.00,,,,19:48.0,->,74.3208.00
17:19:48.137 -> 74.3209.00,,,,19:48.1,->,74.3209.00
17:19:48.230 -> 76.2208.00,,,,19:48.2,->,76.2208.00
17:19:48.324 -> 74.3209.00,,,,19:48.3,->,74.3209.00
17:19:48.418 -> 76.2208.00,,,,19:48.4,->,76.2208.00
17:19:48.513 -> 74.3208.00,,,,19:48.5,->,74.3208.00
17:19:48.656 -> 74.3209.00,,,,19:48.7,->,74.3209.00
17:19:48.752 -> 76.2208.00,,,,19:48.8,->,76.2208.00
17:19:48.845 -> 74.3209.00,,,,19:48.8,->,74.3209.00
17:19:48.939 -> 76.2209.00,,,,19:48.9,->,76.2209.00
17:19:49.033 -> 76.2209.00,,,,19:49.0,->,76.2209.00
17:19:49.127 -> 76.2208.00,,,,19:49.1,->,76.2208.00
17:19:49.220 -> 74.3209.00,,,,19:49.2,->,74.3209.00
17:19:49.314 -> 76.2210.00,,,,19:49.3,->,76.2210.00
17:19:49.456 -> 78.2210.00,,,,19:49.5,->,78.2210.00
17:19:49.551 -> 78.2208.00,,,,19:49.6,->,78.2208.00
17:19:49.644 -> 74.3207.00,,,,19:49.6,->,74.3207.00
17:19:49.723 -> 72.3206.00,,,,19:49.7,->,72.3206.00
17:19:49.863 -> 70.3206.00,,,,19:49.9,->,70.3206.00
17:19:49.957 -> 70.3207.00,,,,19:50.0,->,70.3207.00
17:19:50.051 -> 72.3208.00,,,,19:50.1,->,72.3208.00
17:19:50.146 -> 74.3208.00,,,,19:50.1,->,74.3208.00
17:19:50.241 -> 74.3209.00,,,,19:50.2,->,74.3209.00
17:19:50.335 -> 76.2208.00,,,,19:50.3,->,76.2208.00
17:19:50.429 -> 74.3209.00,,,,19:50.4,->,74.3209.00
17:19:50.571 -> 76.2208.00,,,,19:50.6,->,76.2208.00
17:19:50.667 -> 74.3208.00,,,,19:50.7,->,74.3208.00
17:19:50.761 -> 74.3207.00,,,,19:50.8,->,74.3207.00
17:19:50.855 -> 72.3206.00,,,,19:50.9,->,72.3206.00
17:19:50.948 -> 70.3204.00,,,,19:50.9,->,70.3204.00
17:19:51.043 -> 66.4203.00,,,,19:51.0,->,66.4203.00
17:19:51.137 -> 64.5203.00,,,,19:51.1,->,64.5203.00
17:19:51.231 -> 64.5202.00,,,,19:51.2,->,64.5202.00
17:19:51.371 -> 62.5201.00,,,,19:51.4,->,62.5201.00
17:19:51.465 -> 60.6200.00,,,,19:51.5,->,60.6200.00
17:19:51.561 -> 58.6199.00,,,,19:51.6,->,58.6199.00
17:19:51.655 -> 56.7200.00,,,,19:51.7,->,56.7200.00
17:19:51.749 -> 58.6205.00,,,,19:51.7,->,58.6205.00
17:19:51.890 -> 68.4206.00,,,,19:51.9,->,68.4206.00
17:19:51.937 -> 70.3208.00,,,,19:51.9,->,70.3208.00
17:19:52.078 -> 74.3209.00,,,,19:52.1,->,74.3209.00
17:19:52.172 -> 76.2209.00,,,,19:52.2,->,76.2209.00
17:19:52.266 -> 76.2210.00,,,,19:52.3,->,76.2210.00
17:19:52.360 -> 78.2210.00,,,,19:52.4,->,78.2210.00
17:19:52.453 -> 78.2210.00,,,,19:52.5,->,78.2210.00
17:19:52.594 -> 78.2211.00,,,,19:52.6,->,78.2211.00
17:19:52.688 -> 80.1209.00,,,,19:52.7,->,80.1209.00
17:19:52.783 -> 76.2209.00,,,,19:52.8,->,76.2209.00
17:19:52.876 -> 76.2209.00,,,,19:52.9,->,76.2209.00
17:19:52.970 -> 76.2210.00,,,,19:53.0,->,76.2210.00
17:19:53.064 -> 78.2209.00,,,,19:53.1,->,78.2209.00
17:19:53.157 -> 76.2207.00,,,,19:53.2,->,76.2207.00
17:19:53.298 -> 72.3204.00,,,,19:53.3,->,72.3204.00
17:19:53.392 -> 66.4204.00,,,,19:53.4,->,66.4204.00
17:19:53.486 -> 66.4203.00,,,,19:53.5,->,66.4203.00
17:19:53.583 -> 64.5204.00,,,,19:53.6,->,64.5204.00
17:19:53.675 -> 66.4204.00,,,,19:53.7,->,66.4204.00
17:19:53.770 -> 66.4206.00,,,,19:53.8,->,66.4206.00
17:19:53.865 -> 70.3206.00,,,,19:53.9,->,70.3206.00
17:19:54.008 -> 70.3207.00,,,,19:54.0,->,70.3207.00
17:19:54.104 -> 72.3208.00,,,,19:54.1,->,72.3208.00
17:19:54.200 -> 74.3208.00,,,,19:54.2,->,74.3208.00
17:19:54.293 -> 74.3209.00,,,,19:54.3,->,74.3209.00
17:19:54.387 -> 76.2209.00,,,,19:54.4,->,76.2209.00
17:19:54.482 -> 76.2209.00,,,,19:54.5,->,76.2209.00
17:19:54.577 -> 76.2209.00,,,,19:54.6,->,76.2209.00
17:19:54.671 -> 76.2206.00,,,,19:54.7,->,76.2206.00
17:19:54.812 -> 70.3206.00,,,,19:54.8,->,70.3206.00
17:19:54.906 -> 70.3207.00,,,,19:54.9,->,70.3207.00
17:19:55.000 -> 72.3206.00,,,,19:55.0,->,72.3206.00
17:19:55.093 -> 70.3207.00,,,,19:55.1,->,70.3207.00
17:19:55.191 -> 72.3208.00,,,,19:55.2,->,72.3208.00
17:19:55.289 -> 74.3209.00,,,,19:55.3,->,74.3209.00
17:19:55.381 -> 76.2210.00,,,,19:55.4,->,76.2210.00
