TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:38.846 -> The value of current in ma : 7994.98,,,,19:38.8,->,current ,ma,7994.98
14:19:38.939 -> The value of current in ma : 7994.98,,,,19:38.9,->,current ,ma,7994.98
14:19:39.080 -> The value of current in ma : 7971.94,,,,19:39.1,->,current ,ma,7971.94
14:19:39.174 -> The value of current in ma : 7994.98,,,,19:39.2,->,current ,ma,7994.98
14:19:39.314 -> The value of current in ma : 7971.94,,,,19:39.3,->,current ,ma,7971.94
14:19:39.409 -> The value of current in ma : 8018.02,,,,19:39.4,->,current ,ma,8018.02
14:19:39.549 -> The value of current in ma : 7971.94,,,,19:39.5,->,current ,ma,7971.94
14:19:39.691 -> The value of current in ma : 7856.74,,,,19:39.7,->,current ,ma,7856.74
14:19:39.785 -> The value of current in ma : 7902.82,,,,19:39.8,->,current ,ma,7902.82
14:19:39.926 -> The value of current in ma : 8018.02,,,,19:39.9,->,current ,ma,8018.02
14:19:40.021 -> The value of current in ma : 7994.98,,,,19:40.0,->,current ,ma,7994.98
14:19:40.163 -> The value of current in ma : 7925.86,,,,19:40.2,->,current ,ma,7925.86
14:19:40.258 -> The value of current in ma : 8041.06,,,,19:40.3,->,current ,ma,8041.06
14:19:40.400 -> The value of current in ma : 7948.90,,,,19:40.4,->,current ,ma,7948.9
14:19:40.542 -> The value of current in ma : 7971.94,,,,19:40.5,->,current ,ma,7971.94
14:19:40.637 -> The value of current in ma : 7994.98,,,,19:40.6,->,current ,ma,7994.98
14:19:40.779 -> The value of current in ma : 7925.86,,,,19:40.8,->,current ,ma,7925.86
14:19:40.874 -> The value of current in ma : 7925.86,,,,19:40.9,->,current ,ma,7925.86
14:19:41.017 -> The value of current in ma : 7994.98,,,,19:41.0,->,current ,ma,7994.98
14:19:41.144 -> The value of current in ma : 7971.94,,,,19:41.1,->,current ,ma,7971.94
14:19:41.237 -> The value of current in ma : 7925.86,,,,19:41.2,->,current ,ma,7925.86
14:19:41.380 -> The value of current in ma : 7925.86,,,,19:41.4,->,current ,ma,7925.86
