TimeStamp,,,,TimeStamp,,Specification,Unit,Value
17:19:35.460 -> The value of current in ma : 8686.19,,,,19:35.5,->,current,ma,8686.19
17:19:35.603 -> The value of current in ma : 8709.23,,,,19:35.6,->,current,ma,8709.23
17:19:35.745 -> The value of current in ma : 8686.19,,,,19:35.7,->,current,ma,8686.19
17:19:35.856 -> The value of current in ma : 8732.27,,,,19:35.9,->,current,ma,8732.27
17:19:35.983 -> The value of current in ma : 8732.27,,,,19:36.0,->,current,ma,8732.27
17:19:36.078 -> The value of current in ma : 8709.23,,,,19:36.1,->,current,ma,8709.23
17:19:36.220 -> The value of current in ma : 8709.23,,,,19:36.2,->,current,ma,8709.23
17:19:36.315 -> The value of current in ma : 8709.23,,,,19:36.3,->,current,ma,8709.23
17:19:36.458 -> The value of current in ma : 8732.27,,,,19:36.5,->,current,ma,8732.27
17:19:36.558 -> The value of current in ma : 8709.23,,,,19:36.6,->,current,ma,8709.23
17:19:36.696 -> The value of current in ma : 8709.23,,,,19:36.7,->,current,ma,8709.23
17:19:36.791 -> The value of current in ma : 8709.23,,,,19:36.8,->,current,ma,8709.23
17:19:36.934 -> The value of current in ma : 8755.31,,,,19:36.9,->,current,ma,8755.31
17:19:37.076 -> The value of current in ma : 8755.31,,,,19:37.1,->,current,ma,8755.31
17:19:37.170 -> The value of current in ma : 8755.31,,,,19:37.2,->,current,ma,8755.31
17:19:37.321 -> The value of current in ma : 8732.27,,,,19:37.3,->,current,ma,8732.27
17:19:37.407 -> The value of current in ma : 8755.31,,,,19:37.4,->,current,ma,8755.31
17:19:37.549 -> The value of current in ma : 8686.19,,,,19:37.5,->,current,ma,8686.19
17:19:37.643 -> The value of current in ma : 8686.19,,,,19:37.6,->,current,ma,8686.19
17:19:37.783 -> The value of current in ma : 8709.23,,,,19:37.8,->,current,ma,8709.23
17:19:37.924 -> The value of current in ma : 8755.31,,,,19:37.9,->,current,ma,8755.31
